product_name,product_price,category_name,product_img,size_s,color_name
BIG STOCK BUCKET HAT,78000 ,headwear,//cdn.shopify.com/s/files/1/0099/5708/1143/products/1321132_DGRE_1.jpg?v=1683050278&width=480,ONE SIZE,https://kr.stussy.com/collections/headwear/products/1321132-big-stock-bucket-hat-dgre
BIG STOCK BUCKET HAT,78000 ,headwear,//cdn.shopify.com/s/files/1/0099/5708/1143/products/1321132_BURG_1_412cbcf1-67d6-4916-a6b4-d26ef573d8d2.jpg?v=1683050273&width=480,ONE SIZE,https://kr.stussy.com/collections/headwear/products/1321132-big-stock-bucket-hat-burg
BIG STOCK BUCKET HAT,78000 ,headwear,//cdn.shopify.com/s/files/1/0099/5708/1143/products/1321132_ORAN_1_37e8dcb5-6702-4436-998a-648771fc6e6c.jpg?v=1683050296&width=480,ONE SIZE,https://kr.stussy.com/collections/headwear/products/1321132-big-stock-bucket-hat-oran
BIG STOCK BUCKET HAT,78000 ,headwear,//cdn.shopify.com/s/files/1/0099/5708/1143/products/1321132_LIME_1.jpg?v=1683050288&width=480,ONE SIZE,https://kr.stussy.com/collections/headwear/products/1321132-big-stock-bucket-hat-lime
BIG STOCK BUCKET HAT,78000 ,headwear,//cdn.shopify.com/s/files/1/0099/5708/1143/products/1321129_FORE_1.jpg?v=1683050252&width=480,ONE SIZE,https://kr.stussy.com/collections/headwear/products/1321129-big-stock-bucket-hat-fore
BIG STOCK BUCKET HAT,78000 ,headwear,//cdn.shopify.com/s/files/1/0099/5708/1143/products/1321129_MUST_1_400ed729-8466-40df-9b6b-d03ca33abafe.jpg?v=1683050253&width=480,ONE SIZE,https://kr.stussy.com/collections/headwear/products/1321129-big-stock-bucket-hat-must
BIG STOCK BUCKET HAT,78000 ,headwear,//cdn.shopify.com/s/files/1/0099/5708/1143/products/1321129_DEER_1.jpg?v=1683050247&width=480,ONE SIZE,https://kr.stussy.com/collections/headwear/products/1321129-big-stock-bucket-hat-deer
BASIC SKULLCAP BEANIE,58000 ,headwear,//cdn.shopify.com/s/files/1/0099/5708/1143/products/1321085_DARP_1_2e748fae-1fc7-48d5-8c45-4f340d42a212.jpg?v=1683050146&width=480,ONE SIZE,https://kr.stussy.com/collections/headwear/products/1321085-basic-skullcap-beanie-darp
THERMOCHROMATIC BUCKET HAT,78000 ,headwear,//cdn.shopify.com/s/files/1/0099/5708/1143/products/1321120_GREY_1.jpg?v=1683050231&width=480,ONE SIZE,https://kr.stussy.com/collections/headwear/products/1321120-thermochromatic-bucket-hat-grey
THERMOCHROMATIC BUCKET HAT,78000 ,headwear,//cdn.shopify.com/s/files/1/0099/5708/1143/products/1321120_PINK_1.jpg?v=1683050236&width=480,ONE SIZE,https://kr.stussy.com/collections/headwear/products/1321120-thermochromatic-bucket-hat-pink
